Firstname,Middlename,Surname,Admission,Email,Course,Year,Status,,,
Ali,Amani,Karume,CFR100/IT/2017,amanikarume@gmail.com,CFR100/IT/2017,2,1,,,
Musa,Mwinyi,Makuli,CFR101/IT/2017,mussam@hotmail.com,CFR101/IT/2017,2,1,,,
Amina,Mfaume,Kasoro,CFR102/IT/2017,kasoroamina@yahoo.com,CFR102/IT/2017,2,1,,,
Denis,John,Mbuta,CFR103/IT/2017,denismbuta@gmail.com,CFR103/IT/2017,2,1,,,
Abdallah,Mbuta,Likasu,CFR104/IT/2017,likasuaj@gmail.com,CFR104/IT/2017,2,1,,,
Mwantumu,Ali,Ahmed,CFR105/IT/2017,mwantumuahmed@hotmail.com,CFR105/IT/2017,2,1,,,
John,Emmanuel,Surama,CFR106/IT/2017,suramaemma@yahoo.com,CFR106/IT/2017,2,1,,,
Emmy,Anna,Kisirani,CFR107/IT/2017,kisiraniemma@gmail.com,CFR107/IT/2017,2,1,,,
John,Paul,Polepole,CFR108/IT/2017,polepolejp@gmail.com,CFR108/IT/2017,2,1,,,
Omari,Mohamed,Mushi,CFR109/IT/2017,omarimushi@hotmail.com,CFR109/IT/2017,2,1,,,
Shabani,Athuman,Kanoni,CFR110/IT/2017,shabanikanoni@yahoo.com,CFR110/IT/2017,2,1,,,
Mary,Myler,Kabwe,CFR111/IT/2017,marykabwe@gmail.com,CFR111/IT/2017,2,1,,,
Salim,Jecha,Salim,CFR112/IT/2017,salimjecha@gmail.com,CFR112/IT/2017,2,1,,,
